2025-11-05 14:22:47,169 |     INFO | logger_config.py:40 | ✅ Logging system initialized.
2025-11-05 14:22:47,227 |     INFO | main.py:40 | Found tesseract executable at: C:\Program Files\Tesseract-OCR\tesseract.EXE
2025-11-05 14:22:47,227 |     INFO | main.py:141 | IDIS OCR System Starting...
2025-11-05 14:22:47,227 |     INFO | main.py:142 | Choose Mode:
2025-11-05 14:22:47,228 |     INFO | main.py:143 | 1️⃣ - Batch Image OCR (from data/input_images)
2025-11-05 14:22:47,228 |     INFO | main.py:144 | 2️⃣ - Real-Time OCR via Webcam
2025-11-05 14:22:50,931 |     INFO | main.py:155 | Starting batch OCR processing...
2025-11-05 14:22:54,772 |     INFO | main.py:61 | Initialized EasyOCR reader
2025-11-05 14:22:54,774 |     INFO | main.py:75 | 🔍 Processing: handwritten_02.jpg (category: handwritten_notes)
2025-11-05 14:22:55,162 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:22:55,551 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:22:55,599 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_02.jpg: {}
2025-11-05 14:22:55,600 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:22:55,600 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:22:55,600 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:22:55,601 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_02.jpg (category: handwritten_notes)
2025-11-05 14:22:55,601 |     INFO | main.py:75 | 🔍 Processing: handwritten_03.jpg (category: handwritten_notes)
2025-11-05 14:22:55,960 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:22:56,270 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:22:56,271 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_03.jpg: {}
2025-11-05 14:22:56,271 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:22:56,272 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:22:56,272 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:22:56,273 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_03.jpg (category: handwritten_notes)
2025-11-05 14:22:56,273 |     INFO | main.py:75 | 🔍 Processing: handwritten_05.jpg (category: handwritten_notes)
2025-11-05 14:22:56,588 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:22:56,893 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:22:56,893 |     INFO | main.py:83 | 📄 Extracted Fields for handwritten_05.jpg: {}
2025-11-05 14:22:56,894 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:22:56,894 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:22:56,895 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:22:56,895 |     INFO | main.py:111 | ✅ Extraction successful for handwritten_05.jpg (category: handwritten_notes)
2025-11-05 14:22:56,896 |     INFO | main.py:75 | 🔍 Processing: College_I_card.jpg (category: id_cards_documents)
2025-11-05 14:23:03,512 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:23:04,114 |     INFO | text_extraction.py:70 | Tesseract extraction successful
2025-11-05 14:23:04,158 |     INFO | main.py:83 | 📄 Extracted Fields for College_I_card.jpg: {'Name': 'ho'}
2025-11-05 14:23:04,256 |     INFO | main.py:87 | ✅ Validated Fields: {'Name': 'ho'}
2025-11-05 14:23:04,256 |     INFO | main.py:88 | 📊 Confidence Scores: {'Name': 1.0}
2025-11-05 14:23:04,257 |     INFO | main.py:99 | 📑 Document Type: Document
2025-11-05 14:23:04,257 |     INFO | main.py:111 | ✅ Extraction successful for College_I_card.jpg (category: id_cards_documents)
2025-11-05 14:23:04,258 |     INFO | main.py:75 | 🔍 Processing: id_card_02.jpeg (category: id_cards_documents)
2025-11-05 14:23:04,790 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:23:05,083 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:05,093 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_02.jpeg: {}
2025-11-05 14:23:05,094 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:05,094 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:05,095 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:23:05,095 |     INFO | main.py:111 | ✅ Extraction successful for id_card_02.jpeg (category: id_cards_documents)
2025-11-05 14:23:05,096 |     INFO | main.py:75 | 🔍 Processing: id_card_03.jpeg (category: id_cards_documents)
2025-11-05 14:23:05,449 |  WARNING | text_extraction.py:60 | EasyOCR returned no text
2025-11-05 14:23:05,760 |  WARNING | text_extraction.py:72 | Tesseract returned no text
2025-11-05 14:23:05,761 |     INFO | main.py:83 | 📄 Extracted Fields for id_card_03.jpeg: {}
2025-11-05 14:23:05,762 |     INFO | main.py:87 | ✅ Validated Fields: {}
2025-11-05 14:23:05,762 |     INFO | main.py:88 | 📊 Confidence Scores: {}
2025-11-05 14:23:05,763 |     INFO | main.py:99 | 📑 Document Type: ID Card
2025-11-05 14:23:05,763 |     INFO | main.py:111 | ✅ Extraction successful for id_card_03.jpeg (category: id_cards_documents)
2025-11-05 14:23:05,764 |     INFO | main.py:75 | 🔍 Processing: id_card_05.jpeg (category: id_cards_documents)
2025-11-05 14:23:06,201 |     INFO | text_extraction.py:58 | EasyOCR extraction successful
2025-11-05 14:23:06,490 |  WARNING | text_extraction.py:72 | Tesseract returned no text
